date,volume,open,high,low,close
2017/9/13,9112378,173.01,173.17,172.06,173.05
2017/9/12,11179730,173.76,174,171.75,172.96
2017/9/11,12353760,172.4,173.89,172.2,173.51
2017/9/8,10985350,173.09,173.49,170.8,170.95
2017/9/7,18039640,171.94,173.3067,170.27,173.21
2017/9/6,13886740,170.91,172.48,169.57,172.09
2017/9/5,13214940,171.27,172.3875,169.55,170.72
2017/9/1,11663360,172.4,172.915,171.31,172.02
2017/8/31,17216280,170.4,172.145,170.06,171.97
2017/8/30,11117630,168.17,170.18,167.63,169.92
2017/8/29,11111780,165.25,168.425,165,168.05
2017/8/28,8477431,166.91,167.7,166.33,167.24
2017/8/25,12589850,167.86,168.38,166.18,166.32
2017/8/24,14015950,168.88,169.29,166.41,167.74
2017/8/23,9838383,168.84,169.36,168.2,168.71
2017/8/22,11377350,168.28,169.87,167.15,169.64
2017/8/21,11898620,167.16,168,165.82,167.78
2017/8/18,15065590,166.84,168.67,166.21,167.41
2017/8/17,17009420,169.34,169.86,166.85,166.91
2017/8/16,15732840,171.25,171.38,169.24,170
2017/8/15,8713651,171.49,171.5,170.01,171
2017/8/14,12940140,170.09,171.08,169.29,170.75
2017/8/11,13778190,167.95,168.82,166.85,168.08
2017/8/10,20551720,170.06,170.59,166.85,167.4
2017/8/9,10800730,169.98,171.45,169.56,171.18
2017/8/8,14317200,171.88,173.05,170.62,171.23
2017/8/7,12765230,169.95,172.06,169.66,171.98
2017/8/4,10505980,168.97,170.06,168.69,169.62
2017/8/3,10519470,169.3,169.7,168.25,168.59
2017/8/2,17181110,170.3,170.55,166.91,169.3
2017/8/1,14286110,169.82,170.47,169.05,169.86
2017/7/31,25429310,172,172.72,168.55,169.25
2017/7/28,24546680,169.07,173.43,169.05,172.45
2017/7/27,68454830,174.7,175.49,167.5,170.44
2017/7/26,32989200,166.01,166.01,164.1,165.61
2017/7/25,15309000,165.01,165.54,163.8619,165.28
2017/7/24,17208500,164.64,166.17,164.31,166
2017/7/21,14712450,164.16,165.05,163.75,164.43
2017/7/20,18409730,164.8,165,162.81,164.53
2017/7/19,26144510,163.59,165.7,163.17,164.14
2017/7/18,23686800,159.66,163.73,159.42,162.86
2017/7/17,12757430,160.25,160.78,158.81,159.73
2017/7/14,16305570,160.13,160.32,159.3254,159.97
2017/7/13,13912150,158.74,159.78,158.4227,159.26
2017/7/12,22710090,156.49,159.16,156.2,158.9
2017/7/11,13652540,153.37,155.4225,152.91,155.27
2017/7/10,13326410,151.69,153.98,151.51,153.5
2017/7/7,13249750,149.25,151.99,149.19,151.44
2017/7/6,14934450,149.03,150.04,148,148.82
2017/7/5,14321330,149,150.85,148.13,150.34
2017/7/3,13862740,151.72,152.15,147.8,148.43
2017/6/30,14909670,151.9,151.92,150.06,150.98
2017/6/29,23948630,152.28,152.5,148.9175,151.04
2017/6/28,16696230,150.92,153.47,149.86,153.24
2017/6/27,19351560,152.84,153.31,150.39,150.58
2017/6/26,18030200,156.25,156.5,153.1954,153.59
2017/6/23,17897280,152.72,155.2,152.65,155.07
2017/6/22,12835380,153.01,154.55,152.91,153.4
2017/6/21,14943770,152.36,154.08,151.88,153.91
2017/6/20,14733590,152.88,153.84,152.21,152.25
2017/6/19,18944190,151.71,153.57,151.71,152.87
2017/6/16,22843010,149.59,150.83,148.6,150.64
2017/6/15,18956910,147.67,150.0366,146.3747,149.8
2017/6/14,20774910,151.26,152.4,149.05,150.25
2017/6/13,20474720,150.15,151.18,148.9,150.68
2017/6/12,33150610,148.17,149.195,144.56,148.44
2017/6/9,35541670,154.77,155.59,146.61,149.6
2017/6/8,17795860,154.08,154.73,153.1,154.71
